Action expresses priorities. | Mahatma Gandhi
Travel is fatal to prejudice, bigotry, and narrow-mindedness. |  Mark Twain
The world is a book and those who do not travel read only one page. |  St. Augustine
There are no foreign lands. It is the traveler only who is foreign. |  Robert Louis Stevenson
The use of traveling is to regulate imagination by reality, and instead of thinking how things may be, to see them as they are. |  Samuel Johnson
All the pathos and irony of leaving one’s youth behind is thus implicit in every joyous moment of travel: one knows that the first joy can never be recovered, and the wise traveler learns not to repeat successes but tries new places all the time. |  Paul Fussell
Our battered suitcases were piled on the sidewalk again; we had longer ways to go. But no matter, the road is life. |  Jack Kerouac
He who does not travel does not know the value of men. |  Moorish proverb
People travel to faraway places to watch, in fascination, the kind of people they ignore at home. |  Dagobert D. Runes
A journey is like marriage. The certain way to be wrong is to think you control it. |  John Steinbeck
No one realizes how beautiful it is to travel until he comes home and rests his head on his old, familiar pillow. |  Lin Yutang
Your true traveler finds boredom rather agreeable than painful. It is the symbol of his liberty-his excessive freedom. He accepts his boredom, when it comes, not merely philosophically, but almost with pleasure. |  Aldous Huxley
All travel has its advantages. If the passenger visits better countries, he may learn to improve his own. And if fortune carries him to worse, he may learn to enjoy it. |  Samuel Johnson
For my part, I travel not to go anywhere, but to go. I travel for travel’s sake. The great affair is to move. |  Robert Louis Stevenson
Traveling is a brutality. It forces you to trust strangers and to lose sight of all that familiar comfort of home and friends. You are constantly off balance. Nothing is yours except the essential things – air, sleep, dreams, the sea, the sky – all things tending towards the eternal or what we imagine of it. |  Cesare Pavese
One’s destination is never a place, but a new way of seeing things. |  Henry Miller
A traveler without observation is a bird without wings. |  Moslih Eddin Saadi
One’s destination is never a place, but a new way of seeing things. |  Henry Miller
When we get out of the glass bottle of our ego and when we escape like the squirrels in the cage of our personality and get into the forest again, we shall shiver with cold and fright. But things will happen to us so that we don’t know ourselves. Cool, unlying life will rush in. |  D. H. Lawrence
To awaken quite alone in a strange town is one of the pleasantest sensations in the world. |  Freya Stark
Twenty years from now you will be more disappointed by the things you didn’t do than by the ones you did do. So throw off the bowlines, sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover. |  Mark Twain
Travel is more than the seeing of sights; it is a change that goes on, deep and permanent, in the ideas of living. |  Miriam Beard
All journeys have secret destinations of which the traveler is unaware. |  Martin Buber
We live in a wonderful world that is full of beauty, charm and adventure. There is no end to the adventures we can have if only we seek them with our eyes open. |  Jawaharial Nehru
Tourists don’t know where they’ve been, travelers don’t know where they’re going. |  Paul Theroux
To my mind, the greatest reward and luxury of travel is to be able to experience everyday things as if for the first time, to be in a position in which almost nothing is so familiar it is taken for granted. |  Bill Bryson
Do not follow where the path may lead. Go instead where there is no path and leave a trail |  Ralph Waldo Emerson
More: The next 50 most inspiring travel quotes of all time
Two roads diverged in a wood and I – I took the one less traveled by. |  Robert Frost
A journey of a thousand miles must begin with a single step. |  Lao Tzu
There is no moment of delight in any pilgrimage like the beginning of it. |  Charles Dudley Warner
A good traveler has no fixed plans and is not intent on arriving. |  Lao Tzu
If you reject the food, ignore the customs, fear the religion and avoid the people, you might better stay at home. |  James Michener
The journey not the arrival matters. |  T. S. Eliot
A journey is best measured in friends, rather than miles. |  Tim Cahill
I have found out that there ain’t no surer way to find out whether you like people or hate them than to travel with them. |  Mark Twain
Once you have traveled, the voyage never ends, but is played out over and over again in the quiestest chambers. The mind can never break off from the journey. |  Pat Conroy
A journey of a thousand miles must begin with a single step. |  Lao Tzu
Not all those who wander are lost. | J. R. R. Tolkien
Like all great travelers, I have seen more than I remember, and remember more than I have seen. |  Benjamin Disraeli
Perhaps travel cannot prevent bigotry, but by demonstrating that all peoples cry, laugh, eat, worry, and die, it can introduce the idea that if we try and understand each other, we may even become friends. |  Maya Angelou
Too often travel, instead of broadening the mind, merely lengthens the conversation. | Elizabeth Drew
Wandering re-establishes the original harmony which once existed between man and the universe. |  Anatole France
Travel and change of place impart new vigor to the mind. |  Seneca
What you’ve done becomes the judge of what you’re going to do – especially in other people’s minds. When you’re traveling, you are what you are right there and then. People don’t have your past to hold against you. No yesterdays on the road. |  William Least Heat Moon
I soon realized that no journey carries one far unless, as it extends into the world around us, it goes an equal distance into the world within. |  Lillian Smith
To travel is to discover that everyone is wrong about other countries. |  Aldous Huxley
Travel does what good novelists also do to the life of everyday, placing it like a picture in a frame or a gem in its setting, so that the intrinsic qualities are made more clear. Travel does this with the very stuff that everyday life is made of, giving to it the sharp contour and meaning of art. |  Freya Stark
The first condition of understanding a foreign country is to smell it. |  Rudyard Kipling
Travel is glamorous only in retrospect. |  Paul Theroux
The whole object of travel is not to set foot on foreign land; it is at last to set foot on one’s own country as a foreign land. |  G. K. Chesterton
When you travel, remember that a foreign country is not designed to make you comfortable. It is designed to make its own people comfortable. |  Clifton Fadiman
A wise traveler never despises his own country. |  Carlo Goldoni
